100.SAMN10584055__NoSpeciesID.fasta,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Xanthobacteraceae,g__Ancylobacter,s__Ancylobacter-aquaticus
1000565.SAMN02471991__specI_v4_13278.fasta,p__Pseudomonadota,c__Betaproteobacteria,o__Nitrosomonadales,f__Sterolibacteriaceae,g__Methyloversatilis,s__Methyloversatilis-universalis
1903952.SAMN05792409__specI_v4_08953.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Photobacterium,s__Photobacterium
1001542.SAMN02604301__specI_v4_37714.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,g__Francisella,s__Francisella-tularensis
300.SAMN08683323__specI_v4_07168.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas-mendocina
1001822.SAMN10872460__specI_v4_35266.fasta,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,s__Cupriavidus-agavae
2742611.SAMN15150957__specI_v4_09986.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter-sp.
1577895.SAMN03246058__specI_v4_31714.fasta,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Leisingera,s__Leisingera-sp.
1002364.SAMN02299450__specI_v4_00543.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Hafniaceae,g__Hafnia,s__Hafnia-alvei
1002368.SAMN02299454__specI_v4_01563.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Yokenella,s__Yokenella-regensburgei
1002526.SAMN05216578__specI_v4_16015.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Halopseudomonas,s__Halopseudomonas-formosensis
2024849.SAMN07619618__NoSpeciesID.fasta,p__Pseudomonadota,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Candidatus-Pelagibacter,s__Candidatus-Pelagibacter-sp.
1003200.SAMN02471472__specI_v4_00194.fasta,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Achromobacter,s__Achromobacter-insuavis
1004151.SAMN02597464__specI_v4_01666.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Photorhabdus,s__Photorhabdus-khanii
1004316.SAMN04029016__specI_v4_21628.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__Vibrio-sonorensis
1004326.SAMN03339753__specI_v4_11131.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__Vibrio-mexicanus
1004785.SAMN02604118__specI_v4_00429.fasta,p__Pseudomonadota,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alteromonas,s__Alteromonas-macleodii
1005048.SAMN02603677__specI_v4_13202.fasta,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Collimonas,s__Collimonas-fungivorans
